Key,English,Russian,Turkmen
"about.hero.explore","Explore Carpets","Посмотреть ковры","Halylary görüň"
"about.hero.subtitle","Founded on 15 February 2016, Abadan Haly runs 24/7 production with 600+ specialists. We operate Belgian Vandewiele looms and spin our own Neumag polypropylene yarn to deliver modern, color-fast carpets—reliable at scale.","Основанная 15 февраля 2016 года, Abadan Haly работает 24/7 с командой из 600+ специалистов. Мы работаем на бельгийских ткацких станках Vandewiele и производим собственную полипропиленовую пряжу Neumag для производства современных, устойчивых к выцветанию ковров — надежных в масштабе.","2016-njy ýylyň 15-nji fewralynda esaslandyrylan, Abadan Haly 600+ hünärmenli komanda bilen 24/7 işleýär. Biz Belgiýa Vandewiele dokuwa maşynlary bilen işleýäris we öz Nemag polipropilen ýüplügimizi öndürýäris, häzirki döwür, reňk berkitilen halylary — möçberde ynamdar."
"about.hero.title","Crafted at scale.<br />Built for real homes.","Создано в масштабе.<br />Построено для настоящих домов.","Uly möçberde taýýarlanan.<br />Hakyky öýler üçin gurlan."
"about.lightbox.download","Download","Скачать","Göçüriň"
"about.lightbox.view","View Full Size","Посмотреть в полном размере","Doly ölçegde görüň"
"about.markets.domestic","Domestic Focus","Внутренний фокус","Içki maksat"
"about.markets.exports","Export Markets","Экспортные рынки","Eksport bazarlary"
"about.markets.retail","Retail Stores","Розничные магазины","Dükanlar"
"about.markets.stores","main carpet stores","основных магазинов ковров","esasy haly dükanlary"
"about.markets.title","Markets & Stores","Рынки и магазины","Bazarlar we dükanlar"
"about.milestones.2016","Company Founded","Компания основана","Kompaniýa esaslandy"
"about.milestones.2016.desc","3 Vandewiele machines and a clear mission: quality and scale.","3 машины Vandewiele и четкая миссия: качество и масштаб.","3 Vandewiele maşyny we takyk maksat: hil we möçber."
"about.milestones.2017","First Exports","Начались первые экспорты","Ilkinji eksportlar"
"about.milestones.2017.desc","International shipments begin.","Начались международные поставки.","Halkara ýük göndermek başlandy."
"about.milestones.2020","National Record","Национальный рекорд","Milli ýazuw"
"about.milestones.2020.desc","3,000,000 m² carpets and items produced.","Произведено 3,000,000 м² ковров и изделий.","3,000,000 m² haly we zatlar öndürildi."
"about.milestones.2022","Technology Integration","Интеграция технологий","Tehnologiýa integratsiýasy"
"about.milestones.2022.desc","AI-assisted design workflow introduced.","Внедрен AI-ассистированный рабочий процесс дизайна.","AI kömekli dizaýn iş akşamy girizildi."
"about.milestones.current","Continuous Growth","Непрерывный рост","Dowamly ösüş"
"about.milestones.current.desc","8 Vandewiele looms, 600+ employees, 24/7 operations.","8 ткацких станков Vandewiele, 600+ сотрудников, операции 24/7.","8 Vandewiele dokuwa maşyny, 600+ işgär, 24/7 işlemek."
"about.milestones.title","Company Milestones","Вехи компании","Kompaniýa ýetginjekleri"
"about.mission.1","Improve quality continuously.","Постоянно улучшать качество.","Hili yzygiderli ýokarlandyryň."
"about.mission.2","Catch and keep world standards.","Достигать и поддерживать мировые стандарты.","Dünýä standartlaryna ýetmek we saklamak."
"about.mission.3","Happy, responsive customer care.","Счастливая, отзывчивая забота о клиентах.","Bahtly, çalt müşderi gözegçiligi."
"about.mission.4","Extend to foreign countries.","Расширяться в другие страны.","Daşary ýurtlara giňeltmek."
"about.mission.5","Modern & beautiful design for daily life.","Современный и красивый дизайн для повседневной жизни.","Gündelik durmuş üçin häzirki we gözel dizaýn."
"about.mission.6","IT/AI-assisted design for reliable prices & fast production.","IT/AI-ассистированный дизайн для надежных цен и быстрого производства.","Ynamdar bahalar we çalt önümçilik üçin IT/AI kömekli dizaýn."
"about.mission.title","What Drives Us","Что нас движет","Bizi näme herekete getirýär"
"about.stats.employees","employees","сотрудников","işgärler"
"about.stats.looms","Vandewiele looms","ткацких станков Vandewiele","Vandewiele dokuwa maşynlary"
"about.stats.production","production","производство","önümçilik"
"about.story.title","Our Story","Наша история","Bizim hekaýamyz"
"about.subtitle","Established on 15 February 2016, Abadan Haly operates 24/7 with 600+ specialists, 8 Vandewiele looms, and ISO-certified systems.","Основанная 15 февраля 2016 года, Abadan Haly работает 24/7 с командой из 600+ специалистов, 8 ткацкими станками Vandewiele и ISO-сертифицированными системами.","2016-njy ýylyň 15-nji fewralynda esaslandyrylan, Abadan Haly 600+ hünärmenli komanda, 8 Vandewiele dokuwa maşynlary we ISO ygtyýarly sistemalar bilen 24/7 işleýär."
"about.title","Crafted at scale. Built for real homes.","Создано в масштабе. Построено для настоящих домов.","Uly möçberde taýýarlanan. Hakyky öýler üçin gurlan."
"brand.line","Abadan Haly, Owadan Haly","Abadan Haly, Owadan Haly","Abadan Haly, Owadan Haly"
"certs.download","Download PDF","Скачать PDF","PDF göçüriň"
"certs.environmental","Environmental Management","Управление окружающей средой","Daşky gurşaw dolandyryşy"
"certs.environmental.desc","Environmental responsibility and sustainability","Экологическая ответственность и устойчивость","Daşky gurşaw jogapkärçiligi we dowamlylyk"
"certs.iso14001","ISO 14001 — Environmental Management","ISO 14001 — Управление окружающей средой","ISO 14001 — Daşky gurşaw dolandyryşy"
"certs.iso45001","ISO 45001 — Occupational Health & Safety","ISO 45001 — Охрана труда и техника безопасности","ISO 45001 — Zähmet howpsuzlygy we saglyk"
"certs.iso9001","ISO 9001 — Quality Management","ISO 9001 — Управление качеством","ISO 9001 — Hil Dolandyryşy"
"certs.quality","Quality Management","Управление качеством","Hil Dolandyryşy"
"certs.quality.desc","Consistent quality in manufacturing processes","Последовательное качество в производственных процессах","Önümçilik proseslerinde yzygiderli hil"
"certs.safety","Occupational Health & Safety","Охрана труда и техника безопасности","Zähmet howpsuzlygy we saglyk"
"certs.safety.desc","Workplace safety and employee well-being","Безопасность на рабочем месте и благополучие сотрудников","Iş ýeri howpsuzlygy we işgärleriň gowy ýagdaýy"
"certs.title","Proven capacity and standards","Доказанная мощность и стандарты","Subut edilen kuwwat we standartlar"
"certs.view","View Certificate","Посмотреть сертификат","Sertifikaty görüň"
"collaboration.certificates.download","Download PDF","Скачать PDF","PDF göçüriň"
"collaboration.certificates.view","View Certificate","Посмотреть сертификат","Sertifikaty görüň"
"collaboration.certifications.award","Year of Most Exported Products — Turkmenistan","Год наибольшего экспорта продукции — Туркменистан","Iň köp eksport edilen önümleriň ýyly — Türkmenistan"
"collaboration.certifications.title","Compliance & Certifications","Соответствие и сертификаты","Dürlülk we sertifikatlar"
"collaboration.contact.description","For partnership inquiries, collaboration opportunities, or further information, please contact us via email:","По вопросам партнерства, возможностей сотрудничества или дополнительной информации, пожалуйста, свяжитесь с нами по электронной почте:","Hyzmatdaşlyk soraglary, hyzmatdaşlyk mümkinçilikleri ýa-da goşmaça maglumatlar üçin, haýyş edýäris, bize email arkaly ýazyň:"
"collaboration.contact.include.company","Company name and business information","Название компании и бизнес-информация","Kompaniýaň ady we iş maglumatlary"
"collaboration.contact.include.contact","Contact name and details","Имя контакта и детали","Habarlaşmak ady we jikmeler"
"collaboration.contact.include.country","Country/region and business type","Страна/регион и тип бизнеса","Ýurt/region we iş görnüşi"
"collaboration.contact.include.programs","Program interests (Standard Supply, Private Label, Store Opening, etc.)","Интересы программы (Стандартная поставка, Частная марка, Открытие магазина и т.д.)","Programma mümkinçilikleri (Standart üpjünçilik, Şahsy marka, Dükan açylyşy we ş.m.)"
"collaboration.contact.include.title","What to Include in Your Email","Что включить в ваше письмо","Emailyňyzyňyzda näme goşmaly"
"collaboration.contact.include.volumes","Estimated volumes and timeline","Ориентировочные объемы и сроки","Bahalanan möçberler we wagtlary"
"collaboration.contact.response","Our team will review your inquiry and respond within 1-2 business days with next steps and detailed information.","Наша команда рассмотрит ваш запрос и ответит в течение 1-2 рабочих дней с следующими шагами и подробной информацией.","Bizim komandamyz soragyňyzy gözden geçirer we indiki ädimler we jikme-jikme maglumatlar bilen 1-2 iş güni içinde jogap berer."
"collaboration.contact.subtitle","Contact our partnership team directly via email. We'll respond within 1-2 business days.","Свяжитесь с нашей командой партнерства напрямую по электронной почте. Мы ответим в течение 1-2 рабочих дней.","Hyzmatdaşlyk komandamyz bilen email arkaly gönükdüri ýazlaşyň. Biz 1-2 iş güni içinde jogap bereris."
"collaboration.contact.title","Start a Partnership","Начать партнерство","Hyzmatdaşlyga başlaň"
"collaboration.cta.download","Download Line Sheet","Скачать Line Sheet","Line Sheet göçüriň"
"collaboration.cta.partnership","Start a Partnership","Начать партнерство","Hyzmatdaşlyga başlaň"
"collaboration.opportunities.apply","Apply to open a store / become a distributor","Подать заявку на открытие магазина / стать дистрибьютором","Dükan açmak / daýandyryjy bolmak üçin müracaat et"
"collaboration.opportunities.global.capex","Capex & timelines","Капитальные затраты и сроки","Kapital çykdaýjylary we wagtlary"
"collaboration.opportunities.global.desc","Palletized shipments to retailer DCs and multi-store networks; route planning, ETAs, carton/pallet configs; scalable replenishment.","Поставки на поддонах в распределительные центры розничных продавцов и сети из нескольких магазинов; планирование маршрутов, ETAs, конфигурации коробок/поддонов; масштабируемое пополнение.","Satyjylaryň daýandyryş merkezlerine we köp dükan şebekelerine palletli ýük göndermeler; ýol planlaşdyryş, ETAs, gap/palet konfigurasiýalary; ösdürilýän dolduryş."
"collaboration.opportunities.global.marketing","Marketing kit","Маркетинговый комплект","Marketing toplumy"
"collaboration.opportunities.global.operations","Operations handbook","Руководство по операциям","Işlemek gollanmasy"
"collaboration.opportunities.global.territories","Territories","Территории","Territoriýalar"
"collaboration.opportunities.global.title","Global B2B Distribution","Глобальное B2B распределение","Global B2B daýandyryş"
"collaboration.opportunities.local.desc","Criteria (location, retail experience, floor area), initial assortment pack, VM guidelines, marketing support, training.","Критерии (местоположение, опыт розничной торговли, площадь пола), начальный ассортиментный пакет, руководящие принципы VM, маркетинговая поддержка, обучение.","Meýilnamalar (ýerleşýän ýer, dükan tejribesi, meýdan meýdany), başlangyç assortiment toplumy, VM gollanmalary, marketing goldawy, okuw."
"collaboration.opportunities.local.inventory","Initial inventory package","Начальный пакет инвентаря","Başlangyç enjam toplumy"
"collaboration.opportunities.local.location","Location requirements","Требования к местоположению","Ýerleşýän ýer talap edýänler"
"collaboration.opportunities.local.title","Local Store Opening","Открытие местного магазина","Ýerli dükan açylyşy"
"collaboration.opportunities.local.training","Training & support","Обучение и поддержка","Okuw we goldaw"
"collaboration.opportunities.local.visual","Visual merchandising","Визуальный мерчандайзинг","Görnüşli satuw"
"collaboration.opportunities.title","Distribution & Store Opportunities","Распределение и возможности магазинов","Daýandyryş we dükan mümkinçilikleri"
"collaboration.programs.custom.customization","Customization","Индивидуализация","Şahsylaşdyryş"
"collaboration.programs.custom.customization.desc","Colorways, labeling, packaging, barcode/inner cartons","Цветовые схемы, маркировка, упаковка, штрих-код/внутренние коробки","Reňk şemalary, markalama, paketleme, barkod/içki gapçyklar"
"collaboration.programs.custom.design","Design Collaboration","Дизайнерское сотрудничество","Dizaýn hyzmatdaşlygy"
"collaboration.programs.custom.design.desc","Heritage motifs + modern culture blend","Традиционные мотивы + современная культурная смесь","Miras motiwleri + häzirki medeniýet goşandy"
"collaboration.programs.custom.speed","Speed","Скорость","Tizlik"
"collaboration.programs.custom.speed.desc","IT/AI-assisted iterations for rapid development","IT/AI-ассистированные итерации для быстрой разработки","Çalt önümçilik üçin IT/AI kömekli iterasiýalar"
"collaboration.programs.custom.support","Support","Поддержка","Goldaw"
"collaboration.programs.custom.support.desc","Full design studio collaboration and technical guidance","Полное сотрудничество дизайнерской студии и техническое руководство","Doly dizaýn studiyasynyň hyzmatdaşlygy we tehniki gollanma"
"collaboration.programs.custom.title","Private Label & Custom","Частная марка и индивидуальные","Şahsy marka we sargyt boýunça"
"collaboration.programs.requestSamples","Request Samples","Запросить образцы","Nusgalary sargyt et"
"collaboration.programs.seeGallery","See Gallery","Посмотреть галерею","Galereýany görüň"
"collaboration.programs.standard.logistics","Logistics","Логистика","Logistika"
"collaboration.programs.standard.logistics.desc","Bulk ordering, carton/pallet logistics, replenishment cadence","Оптовые заказы, логистика коробок/поддонов, ритм пополнения","Ulgurji sargytlar, gap/palet logistikasy, dolduryş ritmi"
"collaboration.programs.standard.materials","Materials","Материалы","Materiallar"
"collaboration.programs.standard.materials.desc","Polypropylene, blends; premium fiber selection","Полипропилен, смеси; премиальный выбор волокон","Polipropilen, goşmaçalar; premium tolka saýlamagy"
"collaboration.programs.standard.sizes","Sizes","Размеры","Ölçegler"
"collaboration.programs.standard.sizes.desc","160×230, 200×300, 300×400 cm standard; custom sizes available","160×230, 200×300, 300×400 см стандарт; доступны индивидуальные размеры","160×230, 200×300, 300×400 sm standart; sargyt boýunça ölçegler elýeterli"
"collaboration.programs.standard.styles","Style Families","Семейства стилей","Stil maşgalalary"
"collaboration.programs.standard.styles.desc","Modern/classic/minimal; heritage motifs available","Современные/классические/минималистичные; доступны традиционные мотивы","Häzirki/klassiki/minimal; miras motiwleri elýeterli"
"collaboration.programs.standard.title","Standard Range Supply","Стандартная поставка","Standart dereje üpjünçiligi"
"collaboration.programs.title","Product Programs","Программы продукции","Önüm programmaalary"
"collaboration.subtitle","24/7 Vandewiele production, in-house Neumag yarn, ISO-certified systems. Scale, consistency, and modern design—ready for international roll-outs and local store openings.","Производство Vandewiele 24/7, собственная пряжа Neumag, ISO-сертифицированные системы. Масштаб, последовательность и современный дизайн — готовы для международного развертывания и открытия местных магазинов.","24/7 Vandewiele önümçiligi, öz Neumag ýüplügimiz, ISO ygtyýarly sistemalar. Möçber, yzygiderlilik we häzirki dizaýn — halkara ýaýradylyşy we ýerli dükan açylyşlary üçin taýýar."
"collaboration.title","Reliable carpet manufacturing for retailers, wholesalers, and store networks.","Надежное производство ковров для розничных продавцов, оптовиков и сетей магазинов.","Dükanlar, ulgurji satyjylar we dükan şebekeleri üçin ynamdar haly önümçiligi."
"collaboration.why.assurance","Assurance","Гарантия","Üpjünçilik"
"collaboration.why.assurance.desc","ISO 9001 · 14001 · 45001 + national export award.","ISO 9001 · 14001 · 45001 + национальная экспортная награда.","ISO 9001 · 14001 · 45001 + milli eksport baýragy."
"collaboration.why.certification","Certification","Сертификация","Ygtyýarlylyk"
"collaboration.why.certification.desc","ISO 9001/14001/45001—quality, environment, safety standards.","ISO 9001/14001/45001 — стандарты качества, окружающей среды и безопасности.","ISO 9001/14001/45001 — hil, daşky gurşaw, howpsuzlyk standartlary."
"collaboration.why.consistency","Consistency","Последовательность","Yzygiderlilik"
"collaboration.why.consistency.desc","8 Vandewiele looms + in-house Neumag yarn for repeatable quality.","8 ткацких станков Vandewiele + собственная пряжа Neumag для повторяемого качества.","8 Vandewiele dokuwa maşyny + öz Neumag ýüplügimiz gaýtalanýan hil üçin."
"collaboration.why.design","Design","Дизайн","Dizaýn"
"collaboration.why.design.desc","400+ patterns, custom palettes, AI-assisted workflows.","400+ узоров, индивидуальные палитры, AI-ассистированные рабочие процессы.","400+ şekil, sargyt boýunça palitralar, AI kömekli iş akşamlary."
"collaboration.why.discuss","Discuss your program","Обсудите вашу программу","Programmanyzy çekişiň"
"collaboration.why.range","Range","Ассортимент","Derejeler"
"collaboration.why.range.desc","400+ designs, modern & classic; private-label ready.","400+ дизайнов, современные и классические; готово для частных марок.","400+ dizaýn, häzirki we klassiki; şahsy markalar üçin taýýar."
"collaboration.why.scale","Scale","Масштаб","Möçber"
"collaboration.why.scale.desc","3M m² record (2020), 24/7 lines, 600+ team.","Рекорд 3M м² (2020), линии 24/7, команда 600+.","3M m² ýazuw (2020), 24/7 çyzygylar, 600+ komanda."
"collaboration.why.title","Why Partner with Abadan Haly","Почему стоит стать партнером Abadan Haly","Näme üçin Abadan Haly bilen hyzmatdaşlaşmaly"
"collections.title","Collections","Коллекции","Kolleksiýalar"
"collections.view","View","Посмотреть","Görüň"
"contact.email","Email","Email","Email"
"contact.faq.1.answer","Carpets provide warmth, comfort, sound insulation, and aesthetic appeal to any space. They also help define areas in open floor plans and can increase the value of your home.","Ковры обеспечивают тепло, комфорт, звукоизоляцию и эстетическую привлекательность любого пространства. Они также помогают определить зоны в открытых планировках и могут повысить стоимость вашего дома.","Halylar islendik meýdana ýylylyk, rahatlyk, ses ýapyşdyryş we estetiki çekicilik berýär. Olar açyk meýdanplanlarda meýdanlary kesgitlände kömek edýär we öýüňiziň gymmatyny artdyryp bilýär."
"contact.faq.1.question","Why buy a carpet?","Почему стоит купить ковер?","Näme üçin haly satyn almaly?"
"contact.faq.2.answer","Knot density refers to the number of knots per square meter. Higher density typically means better quality, durability, and more detailed patterns. Our carpets range from 300 to 500+ knots per square meter.","Плотность узлов относится к количеству узлов на квадратный метр. Более высокая плотность обычно означает лучшее качество, долговечность и более детализированные узоры. Наши ковры имеют плотность от 300 до 500+ узлов на квадратный метр.","Düwünjiň gatlygy kwadrat metr başyna düwünleriň sanyna aýdylýar. Ýokary gatlyk adatça gowy hili, berkligi we has jikme-jikme şekilleri aňladýar. Bizim halylarymyz kwadrat metr başyna 300-den 500+-a çenli düwünjiň gatlygyna eýedir."
"contact.faq.2.question","What is knot density and why does it matter?","Что такое плотность узлов и почему это важно?","Düwünjiň gatlygy näme we näme üçin ähmiýetli?"
"contact.faq.3.answer","Living rooms benefit from larger, statement pieces. Bedrooms work well with softer textures. High-traffic areas need durable, lower-pile carpets. Bathrooms and kitchens require moisture-resistant materials.","Гостиные выигрывают от больших, выразительных изделий. Спальни хорошо работают с более мягкими текстурами. Зоны с высокой проходимостью требуют прочных ковров с низким ворсом. Ванные и кухни требуют влагостойких материалов.","Ýaşaýyş otaglary uly, aýdyňlyklý önümlerden peýda alyp biler. Ýatak otaglary ýumşak teksturalar bilen gowy işleýär. Ýokary ýük geçýän ýerler berk, pes ýüň halylary talap edýär. Wan howly we aşhana önümleri namiýlyk garşy dayanýan materiallar talap edýär."
"contact.faq.3.question","Where should I use different types of carpets?","Где следует использовать различные типы ковров?","Dürli görnüşli halylary nirede ulanmaly?"
"contact.faq.4.answer","Consider the room size, traffic level, color scheme, material quality, knot density, and maintenance requirements. Also think about your lifestyle - pets and children may require more durable options.","Учитывайте размер комнаты, уровень проходимости, цветовую схему, качество материала, плотность узлов и требования к уходу. Также подумайте о вашем образе жизни — домашние животные и дети могут потребовать более прочных вариантов.","Otagyň meýdanyny, ýük geçiş derejesini, reňk şemasy, material hili, düwünjiň gatlygyny we gözegçilik talap edýänlerini göz öňünde tutuň. Şeýle hem durmuşyňyz hakda oýlaň — haýwan we çagalar has berkliligi talap edýän wariantlary talap edip bilýär."
"contact.faq.4.question","What should I look for when buying a carpet?","На что следует обратить внимание при покупке ковра?","Haly satyn alanda näme göz öňünde tutmaly?"
"contact.faq.title","Frequently Asked Questions","Часто задаваемые вопросы","Köp soralýan soraglar"
"contact.getintouch.title","Get in touch","Связаться с нами","Habarlaşmak"
"contact.headOffice","Head Office","Головной офис","Esasy ofis"
"contact.headOffice.address","Abadan district, Ashgabat, Turkmenistan","Абаданский район, Ашхабад, Туркменистан","Abadan etraby, Aşgabat, Türkmenistan"
"contact.info.description","For any inquiries, collaboration opportunities, or further information, please contact us via email.","По любым вопросам, возможностям сотрудничества или дополнительной информации, пожалуйста, свяжитесь с нами по электронной почте.","Islendik soraglar, hyzmatdaşlyk mümkinçilikleri ýa-da goşmaça maglumatlar üçin, haýyş edýäris, bize email arkaly ýazyň."
"contact.info.getintouch","Get in Touch","Связаться с нами","Habarlaşmak"
"contact.info.howto.1","Send an email to admin@abadanhaly.com","Отправьте письмо на admin@abadanhaly.com","admin@abadanhaly.com adresine email iberiň"
"contact.info.howto.2","Include your name, company (if applicable), and inquiry details","Укажите ваше имя, компанию (если применимо) и детали запроса","Adyňyzy, kompaniýaňyzy (eger bar bolsa) we sorag jikmelerini goşuň"
"contact.info.howto.3","For collaboration requests, please describe your business and partnership goals","Для запросов о сотрудничестве, пожалуйста, опишите ваш бизнес и цели партнерства","Hyzmatdaşlyk sorağy üçin, haýyş edýäris, işiňizi we hyzmatdaşlyk maksatlaryňyzy beýan ediň"
"contact.info.howto.4","For product inquiries, please specify your needs and requirements","Для запросов о продукции, пожалуйста, укажите ваши потребности и требования","Önüm soraglary üçin, haýyş edýäris, zerurlyklaryňyzy we talap edýänleriňizi görkeziň"
"contact.info.howto.title","How to Contact:","Как связаться:","Nädip habarlaşmaly:"
"contact.info.response","We'll respond within 1-2 business days","Мы ответим в течение 1-2 рабочих дней","Biz 1-2 iş güni içinde jogap bereris"
"contact.info.title","Contact Information","Контактная информация","Habarlaşmak maglumatlary"
"contact.instructions","Instructions:","Инструкции:","Gollanma:"
"contact.instructions.text","Send your email to admin@abadanhaly.com with your inquiry details, name, and contact information. For collaboration requests, please include your business information and partnership goals. We'll respond within 1-2 business days.","Отправьте письмо на admin@abadanhaly.com с указанием деталей запроса, вашего имени и контактной информации. Для запросов о сотрудничестве, пожалуйста, укажите информацию о вашем бизнесе и целях партнерства. Мы ответим в течение 1-2 рабочих дней.","Sorag jikmeleriňizi, adyňyzy we habarlaşmak maglumatlaryňyzy bilen admin@abadanhaly.com adresine email iberiň. Hyzmatdaşlyk sorağy üçin, haýyş edýäris, işiňizi we hyzmatdaşlyk maksatlaryňyzy goşuň. Biz 1-2 iş güni içinde jogap bereris."
"contact.phone","Phone","Телефон","Telefon"
"contact.responseTime","Response Time","Время ответа","Jogap wagty"
"contact.responseTime.detailed","Detailed information: 3-5 days","Подробная информация: 3-5 дней","Jikme-jikme maglumat: 3-5 gün"
"contact.responseTime.initial","Initial response: 1-2 days","Первоначальный ответ: 1-2 дня","Ilkinji jogap: 1-2 gün"
"contact.responseTime.product","Product inquiries: Same day","Запросы о продукции: В тот же день","Önüm soraglary: Şol gün"
"contact.subtitle","Get in touch with our team for personalized assistance, product inquiries, or to schedule a consultation at one of our showrooms.","Свяжитесь с нашей командой для персональной помощи, запросов о продукции или для записи на консультацию в одном из наших шоурумов.","Şahsyýetli kömek, önüm soraglary ýa-da birimiziň şouýaglarymyzdan birinde maslahat almak üçin komandamyz bilen habarlaşyň."
"contact.title","Contact","Контакты","Habarlaşmak"
"cta.explore","Explore Carpets","Посмотреть ковры","Halylary görüň"
"cta.viewAR","View in AR","Посмотреть в AR","AR-da görkeziň"
"footer.address","Turkmenistan, Ashgabat","Туркменистан, Ашхабад","Türkmenistan, Aşgabat"
"footer.address.full","Türkmenistan, Aşgabat ş, Abadan etr., Altyn Asyr köç. jay.27","Туркменистан, г. Ашхабад, Абаданский этрап, ул. Алтын Асыр, дом 27","Türkmenistan, Aşgabat ş., Abadan etr., Altyn Asyr köç. jay.27"
"footer.certificates","Certificates and Awards","Сертификаты и награды","Sertifikatlar we baýraklar"
"footer.certificates.award","Industry Recognition Award","Награда за признание отрасли","Senagat tanalmasy baýragy"
"footer.certificates.export","Year of Most Exported Products — Turkmenistan","Год наибольшего экспорта продукции — Туркменистан","Iň köp eksport edilen önümleriň ýyly — Türkmenistan"
"footer.certificates.iso14001","ISO 14001 - Environmental Management","ISO 14001 - Управление окружающей средой","ISO 14001 - Daşky gurşaw dolandyryşy"
"footer.certificates.iso45001","ISO 45001 - Occupational Health & Safety","ISO 45001 - Охрана труда и техника безопасности","ISO 45001 - Zähmet howpsuzlygy we saglyk"
"footer.certificates.iso9001","ISO 9001 - Quality Management","ISO 9001 - Управление качеством","ISO 9001 - Hil Dolandyryşy"
"footer.company.desc","Abadan Haly is a modern carpet manufacturer based in Turkmenistan. Established on 15 February 2016, we operate around the clock with a team of 600+ specialists. Our facility runs Belgian Vandewiele looms and spins its own polypropylene yarn on German industrial lines, delivering reliable quality at scale.","Abadan Haly — современный производитель ковров в Туркменистане. Основанная 15 февраля 2016 года, мы работаем круглосуточно с командой из 600+ специалистов. Наше предприятие работает на бельгийских ткацких станках Vandewiele и производит собственную полипропиленовую пряжу на немецких промышленных линиях, обеспечивая надежное качество в масштабе.","Abadan Haly Türkmenistanda ýerleşýän häzirki haly öndürýän kompaniýadyr. 2016-njy ýylyň 15-nji fewralynda esaslandyrylan, biz 600+ hünärmenli komanda bilen täňňe ýaly işleýäris. Bizim obýektiňiz Belgiýa Vandewiele dokuwa maşynlary bilen işleýär we nemes senagat çyzygylarynda öz polipropilen ýüplügini öndürýär, ululygynda ynamdar hili üpjün edýär."
"footer.contact","Contact","Контакты","Habarlaşmak"
"footer.copyright","All rights reserved.","Все права защищены.","Ähli hukuklar goraglanan."
"footer.email","Email","Email","Email"
"footer.email.full","info@abadanhaly.com.tm","info@abadanhaly.com.tm","info@abadanhaly.com.tm"
"footer.phone","Phone","Телефон","Telefon"
"footer.phone.full","+993 12 357905","+993 12 357905","+993 12 357905"
"footer.quickLinks","Quick Links","Быстрые ссылки","Çalt baglanyşyklar"
"gallery.ai","Your room, size, color… type and see","Ваша комната, размер, цвет… напишите и посмотрите","Otagyňyz, ölçegiňiz, reňkiňiz… ýazyň we görüň"
"gallery.colors.all","All Colors","Все цвета","Ähli reňkler"
"gallery.empty.subtitle","Try selecting a different category or color","Попробуйте выбрать другую категорию или цвет","Başga kategoriýa ýa-da reňk saýlaň"
"gallery.empty.title","No carpets in this category","В этой категории нет ковров","Bu kategoriýada haly ýok"
"gallery.search.empty.subtitle","Try searching with a different name","Попробуйте поиск с другим названием","Başga at bilen gözleg geçiriň"
"gallery.search.empty.title","No search results found","Результаты поиска не найдены","Gözleg netijesi tapylmady"
"gallery.search.placeholder","Search products by name...","Поиск продуктов по названию...","Önümleri ady boýunça gözläň..."
"gallery.subtitle","Explore Turkmen carpets for your home. New arrivals, best sellers, and timeless favorites.","Изучите туркменские ковры для вашего дома, новинки, бестселлеры и вневременные фавориты.","Öýüňiz üçin türkmen halylaryny gözden geçiriň, täze gelýänler, iň köp satylýanlar we wagtdan aýralmaz görnüşli halylar."
"gallery.tabs.all","All Carpets","Все ковры","Ähli halylar"
"gallery.tabs.bestseller","Best Seller","Бестселлеры","Iň köp satylýan"
"gallery.tabs.new","New","Новинки","Täze"
